模型名称,提供商,模型类型,输入价格(¥/百万Token),输出价格(¥/百万Token),上下文长度,发布时间,推荐指数,使用场景,性价比等级
GPT-4.5-preview,OpenAI,文本生成,540,1080,128K,2025-02-27,⭐⭐⭐⭐⭐,超高端应用/创意生成,超高端
GPT-4.1,OpenAI,文本生成,14.4,57.6,1M,2025-04-14,⭐⭐⭐⭐⭐,高端推理/多模态,超高端
Claude-3-Opus,Anthropic,文本生成,108,540,200K,2024-03-04,⭐⭐⭐⭐⭐,复杂推理/代码,超高端
Claude-3.5-Sonnet,Anthropic,文本生成,21.6,108,200K,2024-07-01,⭐⭐⭐⭐⭐,代码/推理优势,高端
Claude-3.5-Sonnet-v2,Anthropic,文本生成,21.6,108,200K,2024-10-23,⭐⭐⭐⭐⭐,最新高性能版,高端
GPT-4o,OpenAI,文本生成,18,72,128K,2024-08-06,⭐⭐⭐⭐⭐,通用高端,高端
GPT-4o-2024-05-13,OpenAI,文本生成,36,108,128K,2024-05-14,⭐⭐⭐⭐,早期版本,高端
GPT-4-Turbo,OpenAI,文本生成,72,216,128K,2023-11-07,⭐⭐⭐⭐,均衡性能,高端
Gemini-2.5-pro,Google,文本生成,18,108,200K,2025-06-17,⭐⭐⭐⭐⭐,最新高性能,高端
o1-preview,OpenAI,文本生成,108,432,128K,2024-09-12,⭐⭐⭐⭐⭐,深度推理,超高端
o1-mini,OpenAI,文本生成,21.6,86.4,128K,2024-09-12,⭐⭐⭐⭐,推理特化,高端
Gemini-2.0-Flash,Google,文本生成,0.7,2.8,1024K,2025-02-25,⭐⭐⭐⭐⭐,性价比最优,经济
Gemini-2.5-pro-preview,Google,文本生成,18,108,200K,2025-03-25,⭐⭐⭐⭐⭐,推理优先,高端
Gemini-2.5-flash,Google,文本生成,2.16,18,1024K,2025-06-17,⭐⭐⭐⭐⭐,性价比优,中高端
ERNIE-Bot-4.0,百度,文本生成,40,120,8K,2023-10-17,⭐⭐⭐⭐,通用强手,中高端
ERNIE-4.5-8K,百度,文本生成,4,16,8K,2025-03-16,⭐⭐⭐⭐,多模态能力,中端
Ernie-x1-32k-preview,百度,文本生成,2,8,32K,2025-03-16,⭐⭐⭐⭐,推理能力,中端
Qwen-Max,阿里,文本生成,20,60,32K,2024-09-19,⭐⭐⭐⭐,高性能选择,中高端
Qwen-Plus,阿里,文本生成,0.8,2,128K,2024-09-19,⭐⭐⭐⭐⭐,均衡选择,中端
Qwen-Turbo,阿里,文本生成,0.3,0.6,128K,2024-09-19,⭐⭐⭐⭐⭐,高频调用,经济
GLM-4.5,智谱,文本生成,4,16,128K,2025-07-29,⭐⭐⭐⭐⭐,稳定通用,中端
GLM-4.5-flash,智谱,文本生成,0,0,128K,2025-07-29,⭐⭐⭐⭐⭐,完全免费,经济
glm-z1-air,智谱,文本生成,0.5,0.5,32K,2025-04-25,⭐⭐⭐⭐⭐,推理优势,经济
glm-z1-airx,智谱,文本生成,5,5,32K,2025-04-25,⭐⭐⭐⭐,超快推理,中端
glm-z1-flash,智谱,文本生成,0,0,32K,2025-04-25,⭐⭐⭐⭐⭐,免费推理,经济
Doubao-1.5-pro-32k,字节,文本生成,0.4,1,32K,2025-01-22,⭐⭐⭐⭐⭐,性价比之选,经济
Doubao-1.5-pro-256k,字节,文本生成,2.5,4.5,256K,2025-01-22,⭐⭐⭐⭐⭐,长上下文优选,中端
Doubao-1.5-lite-32k,字节,文本生成,0.1,0.3,32K,2025-01-22,⭐⭐⭐⭐⭐,最便宜,经济
Doubao-Seed-1.6,字节,文本生成,0.8,8,256K,2025-06-16,⭐⭐⭐⭐,推理能力,中端
Doubao-Seed-1.6-flash,字节,文本生成,0.14,1.5,256K,2025-06-16,⭐⭐⭐⭐⭐,轻量推理,经济
Doubao-Seed-1.6-thinking,字节,文本生成,0.8,8,256K,2025-06-16,⭐⭐⭐⭐,思考推理,中端
Doubao-deepseek-v3,字节,文本生成,2,4,128K,2024-12-26,⭐⭐⭐⭐,深思推理,经济
Baichuan4,百川,文本生成,100,100,32K,2024-05-22,⭐⭐⭐⭐,专业级,中高端
Baichuan3-Turbo,百川,文本生成,12,12,32K,2024-05-22,⭐⭐⭐⭐,均衡方案,中端
Baichuan3-Turbo-128k,百川,文本生成,24,24,128K,2024-05-22,⭐⭐⭐⭐,长上下文,中端
MiniMax-M1,MiniMax,文本生成,2.4,24,1024K,2025-06-19,⭐⭐⭐⭐⭐,超长上下文,中端
abab6.5s-chat,MiniMax,文本生成,1,1,240K,2024-04-17,⭐⭐⭐⭐⭐,长上下文便宜,经济
abab6.5-chat,MiniMax,文本生成,10,10,8K,2024-04-17,⭐⭐⭐⭐,复杂场景,中端
step-2-16k,阶跃星辰,文本生成,1,2,16K,2024-09-03,⭐⭐⭐⭐⭐,平衡选择,经济
step-2-mini,阶跃星辰,文本生成,15,70,8K,2025-01-14,⭐⭐⭐⭐,极速模型,中端
step-1-256k,阶跃星辰,文本生成,95,300,256K,2024-03-23,⭐⭐⭐,长上下文,高端
Spark-4.0Ultra,讯飞,文本生成,100,100,8K,2024-06-27,⭐⭐⭐⭐,专业级,中高端
Spark-generalv3-Pro,讯飞,文本生成,30,30,8K,2024-07-18,⭐⭐⭐⭐,专业级,中端
Spark-generalv3.5,讯飞,文本生成,30,30,8K,2024-04-26,⭐⭐⭐⭐,通用模型,中端
moonshot-v1-128k,Moonshot,文本生成,60,60,128K,2024-04-16,⭐⭐⭐⭐,长上下文,中端
kimi-k2-turbo-preview,Moonshot,文本生成,16,64,256K,2025-09-05,⭐⭐⭐⭐,Function call,中高端
DeepSeek-V3,DeepSeek,文本生成,2,4,128K,2024-12-26,⭐⭐⭐⭐⭐,极致便宜,经济
DeepSeek-Chat,DeepSeek,文本生成,2,4,64K,2024-12-26,⭐⭐⭐⭐⭐,便宜选择,经济
DeepSeek-Reasoner,DeepSeek,文本生成,4,16,64K,2025-01-21,⭐⭐⭐⭐,推理特化,中端
deepseek-r1-baidu,DeepSeek,文本生成,4,16,128K,2024-12-26,⭐⭐⭐⭐,推理优先,中端
GPT-3.5-Turbo,OpenAI,文本生成,7.2,14.4,16K,2023-03-01,⭐⭐⭐⭐,通用任务,中端
GPT-4o-mini,OpenAI,文本生成,1.08,4.32,128K,2024-07-19,⭐⭐⭐⭐⭐,轻量高效,经济
text-embedding-3-small,OpenAI,Embedding,0.14,0,8K,2024-06-28,⭐⭐⭐⭐⭐,最便宜,经济
text-embedding-3-large,OpenAI,Embedding,0.94,0,8K,2024-06-28,⭐⭐⭐⭐,高精度,中端
text-embedding-ada-002,OpenAI,Embedding,0.72,0,8K,2022-12-01,⭐⭐⭐,历史版本,中端
embo-01,MiniMax,Embedding,0.5,0,4K,2023-04-30,⭐⭐⭐⭐⭐,国产方案,经济
Baichuan-Text-Embedding,百川,Embedding,0.5,0,512,2024-01-10,⭐⭐⭐⭐⭐,国产优化,经济
text-embedding-v4,阿里,Embedding,0.5,0,8K,2025-06-05,⭐⭐⭐⭐⭐,国产方案,经济
jimeng-t2i-v40,字节,图像生成,0.22,0,256K,2025-06-17,⭐⭐⭐⭐⭐,最优性价比,经济
CogView-3-Plus,智谱,图像生成,0.1,0,1K,2024-08-29,⭐⭐⭐⭐⭐,最便宜,经济
high_aes_general_v21_L,豆包,图像生成,0.25,0,256K,2024-11-17,⭐⭐⭐⭐⭐,通用2.1,经济
DALL-E-3,OpenAI,图像生成,0.288,0,1K,2023-09-21,⭐⭐⭐⭐,国际标准,中端
Midjourney,Midjourney,图像生成,0.45,0.675,8K,2024-03-01,⭐⭐⭐,溢价高,中高端
jimeng-vgfm-t2v-l20,字节,视频生成,0.65,0,256K,2025-04-18,⭐⭐⭐⭐⭐,最优选择,经济
veo-2.0-generate-001,Google,视频生成,0.15,0,20MB,2025-03-01,⭐⭐⭐⭐⭐,性价比优,经济
veo-3.0-generate-preview,Google,视频生成,0.225,0,20MB,2025-03-01,⭐⭐⭐⭐⭐,高性能,中端
PixVerse,PixVerse,视频生成,3.15,0,2K,2025-02-13,⭐⭐⭐,专业级,中高端
video-01,MiniMax,视频生成,2,0,2K,2024-09-01,⭐⭐⭐⭐,经济方案,中端
CogVideoX,智谱,视频生成,0.5,0,0.5K,2024-07-26,⭐⭐⭐⭐⭐,便宜方案,经济
CogVideoX-2B,智谱,视频生成,0,0,226,2024-08-06,⭐⭐⭐⭐⭐,完全免费,经济
sora,OpenAI,视频生成,0.15,0,1024K,2024-12-10,⭐⭐⭐⭐⭐,最新高端,高端
Kling,快手,视频生成,0.5,0,16K,2025-04-25,⭐⭐⭐⭐⭐,国内高端,中高端
jimeng-ti2v-v30-pro,字节,视频生成,1,0,256K,2025-06-17,⭐⭐⭐⭐⭐,多镜头叙事,中端
vidu,生树科技,视频生成,1.25,0,1.5K,2024-07-30,⭐⭐⭐⭐,国际水准,中端
gemini-2.0-flash-preview-image-generation,Google,图像生成,0.043,0,8K,2025-02-01,⭐⭐⭐⭐⭐,谷歌原生,经济
Grok-3,xAI,文本生成,21.6,108,128K,2025-02-18,⭐⭐⭐⭐,国外选项,中高端
wanx,阿里,图像/视频生成,0.04-0.24,0,未披露,2025-01-01,⭐⭐⭐⭐⭐,阿里方案,经济

